technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
electric steam cracker,,,,0.0,,3.0,,,240.4446,,,,,,,,0.55,,,,,,0.07,,,,1.0,,,,,,,2.7,,0.0,,,,,,14041962.2846,30.0,,,,,14.8,,,,,,,,,,,,240.4446,1552850.1072925804
electricity distribution grid,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,667.9016,40.0,,,,,,,,,,,,,,,,,0.0,63.45675586830653
electrobiofuels,,0.9269,,0.0,,2.6667,,,0.0,,,,,0.9,,,,,,,,,0.07,,,,1.0,,1.3217,,,1.0694,0.5911,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
electrolysis,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.6217,,,,0.2228,,,,,0.0,,,,,,1886.0019,25.0,,,,,,,,,,,,,,,,,0.0,237.27887451815806
electrolysis small,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.6217,,,,0.2228,,,,,0.0,,,,,,1100.1678,25.0,,,,,,,,,,,,,,,,,0.0,138.41267994752178
ethanol carbon capture retrofit,,,,0.0,,7.0,,,0.0,,,,,,0.94,,,,,,,,0.07,,,,1.0,,,,,,,0.12,,0.0,,,,,,1167510.284,20.0,,,,,,,,,,,,,,,,,0.0,191930.43142209935
ethanol from starch crop,,,,0.0,,16.4,,,33.2615,,,,,,,,,,,,,,0.07,,,,0.58,,,,,,,,,0.0,,,,,,761648.2168,20.0,,,,,,,,,,,,,,,,,33.2615,196804.5111260855
ethanol from sugar crops,,,,0.0,,19.51,,,29.2541,,,,,,,,,,,,,,0.07,,,,0.45,,,,,,,,,0.0,,,,,,563668.838,20.0,,,,,,,,,,,,,,,,,29.2541,163178.1410629212
fuel cell,,,,0.0,,5.0,,,0.0,,1.25,,,,,,,,,,,,0.07,,,,0.5,,,,,,,,,0.0,,,,,,1469.3834,10.0,,,,,,,,,,,,,,,,,0.0,282.6763090410443
fuelwood,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,18.4403,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,18.4403,0.0
gas,,,,0.198,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,28.4158,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,28.4158,0.0
gas boiler steam,,,,0.0,,4.18,,,1.2661,,,,,,,,,,,,,,0.07,,,,0.93,,,,,,,,,0.0,,,,,,57.5516,25.0,,,,,,,,,,,,,,,,,1.2661,7.344189442876859
gas storage,,,,0.0,,0.5368,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.2974,100.0,,,,,,,,,,,,,,,,,0.0,0.02243846259295005
gas storage charger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,19.1718,25.0,,,,,,,,,,,,,,,,,0.0,1.6451420740511569
