technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
NH3 (l) storage tank incl. liquefaction,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,211.8256,20.0,,,,,,,,,,,,,,,,,0.0,24.23135013132058
NH3 (l) transport ship,,,,0.0,,4.0,,,0.0,,,,53000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,102050557.0339,20.0,,,,,,,,,,,,,,,,,0.0,13714872.9335148
Ni-Zn-bicharger,,,,0.0,,2.1198,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,102540.0181,15.0,,,,,,,,,,,,,,,,,0.0,13431.986107807712
Ni-Zn-store,,,,0.0,,0.2262,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,336761.8265,15.0,,,,,,,,,,,,,,,,,0.0,37736.39360573596
OCGT,,,,0.198,,1.7795,,,6.0111,,,,,,,,,,,,,,0.07,,,,0.41,,,,,,,,,28.4158,,,,,,581.3949,25.0,,,,,,,,,,,,,,,,,75.31792926829269,60.235719323957156
PEM electrolyzer small size,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.33,,0.0,,,,,,1372.0508,7.0,,,,,,,,,,,,,,,,,0.0,295.74996743750773
PHS,,,,0.0,,1.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.75,,,,,,,,,0.0,,,,,,2888.5279,80.0,,,,,,,,,,,,,,,,,0.0,231.98799277992995
Pumped-Heat-charger,,,,0.0,,0.366,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,957815.7129,33.0,,,,,,,,,,,,,,,,,0.0,78606.082437332
Pumped-Heat-discharger,,,,0.0,,0.5212,,,0.0,,,,,,,,,,,,,,0.07,,,,0.63,,,,,,,,,0.0,,,,,,672508.9048,33.0,,,,,,,,,,,,,,,,,0.0,56235.23851011661
Pumped-Heat-store,,,,0.0,,0.1528,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,14518.1865,33.0,,,,,,,,,,,,,,,,,0.0,1160.5267035815023
Pumped-Storage-Hydro-bicharger,,,,0.0,,0.9951,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8944,,,,,,,,,0.0,,,,,,1756657.9565,60.0,,,,,,,,,,,,,,,,,0.0,142605.88903507337
Pumped-Storage-Hydro-store,,,,0.0,,0.43,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,71761.1936,60.0,,,,,,,,,,,,,,,,,0.0,5420.0673735649525
SMR,,,,0.0,,5.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.76,,,,,,,,,0.0,,,,,,659179.2942,30.0,,,,,,,,,,,,,,,,,0.0,86079.85329857067
SMR CC,,,,0.0,,5.0,,,0.0,,,,,,0.9,,,,,,,,0.07,,,,0.69,,,,,,,,,0.0,,,,,,764647.9813,30.0,,,,,,,,,,,,,,,,,0.0,99852.62982999839
SOEC,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.19,,0.0,,,,,,2820.8871,30.0,,,,,,,,,,,,,,,,,0.0,340.16063009988824
Sand-charger,,,,0.0,,1.075,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,181297.9281,35.0,,,,,,,,,,,,,,,,,0.0,15951.309590398287
Sand-discharger,,,,0.0,,0.2688,,,0.0,,,,,,,,,,,,,,0.07,,,,0.53,,,,,,,,,0.0,,,,,,725191.7123,35.0,,,,,,,,,,,,,,,,,0.0,57958.74276823216
Sand-store,,,,0.0,,0.3308,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,8425.2126,35.0,,,,,,,,,,,,,,,,,0.0,678.5831332634737
Steam methane reforming,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,627941.6326,30.0,,1.483,,,,,,,,,,,,,,,0.0,69441.80676412953
"Tank&bulk, diesel",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.462,,,,,,,,,0.0,,,,,,44169300.0,25.0,,,,,,,,,,,,,,,,,0.0,3790190.478274745
"Tank&bulk, methanol",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.4695,,,,,,,,,0.0,,,,,,46377765.0,25.0,,,,,,,,,,,,,,,,,0.0,3979700.0021884823
"Tankbulk, ammonia",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.471,,,,,,,,,0.0,,,,,,48586230.0,25.0,,,,,,,,,,,,,,,,,0.0,4169209.5261022197
Vanadium-Redox-Flow-bicharger,,,,0.0,,2.4395,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8062,,,,,,,,,0.0,,,,,,162225.1483,12.0,,,,,,,,,,,,,,,,,0.0,24381.951273604107
Vanadium-Redox-Flow-store,,,,0.0,,0.2345,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,324483.9347,12.0,,,,,,,,,,,,,,,,,0.0,41614.08749220729
Zn-Air-bicharger,,,,0.0,,2.4395,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7937,,,,,,,,,0.0,,,,,,162225.1483,25.0,,,,,,,,,,,,,,,,,0.0,17878.10637460068
Zn-Air-store,,,,0.0,,0.1654,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,219264.0846,25.0,,,,,,,,,,,,,,,,,0.0,19177.82730337018
Zn-Br-Flow-bicharger,,,,0.0,,2.1198,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8307,,,,,,,,,0.0,,,,,,102540.0181,10.0,,,,,,,,,,,,,,,,,0.0,16773.035010380572
Zn-Br-Flow-store,,,,0.0,,0.2576,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,518407.3478,10.0,,,,,,,,,,,,,,,,,0.0,75144.96090321317
Zn-Br-Nonflow-bicharger,,,,0.0,,2.4395,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8888,,,,,,,,,0.0,,,,,,162225.1483,15.0,,,,,,,,,,,,,,,,,0.0,21768.931767442118
Zn-Br-Nonflow-store,,,,0.0,,0.2244,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,300780.3155,15.0,,,,,,,,,,,,,,,,,0.0,33699.012885754826
air separation unit,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.25,,0.0,,,,,,1035947.761,30.0,,,,,,,,,,,,,,,,,0.0,114561.73711437818
allam,,,,0.0,,0.0,,,2.5147,,,,,,,,,,,,,,0.07,,,,0.6,,,,,,,,,0.0,,,,,,1886.0019,30.0,,,,,,,,,,,,,,,,,2.5147,151.98611013612236
ammonia carbon capture retrofit,,,,0.0,,5.0,,,0.0,,,,,,0.99,,,,,,,,0.07,,,,1.0,,,,,,,0.1,,0.0,,,,,,1169010.6551,20.0,,,,,,,,,,,,,,,,,0.0,168796.868714929
battery inverter,,,,0.0,,0.3375,,,0.0,,,,,,,,,,,,,,0.07,,,,0.96,,,,,,,,,0.0,,,,,,213.9279,10.0,,,,,,,,,,,,,,,,,0.0,31.18052682820939
battery storage,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,189.861,25.0,,,,,,,,,,,,,,,,,0.0,16.29207061003279
biochar pyrolysis,,,,0.0,,3.4167,,,1035.4112,,,,,,,,,,,,,,0.07,,,,1.0,0.404,,,0.4848,,,,,0.0,,,,,,194139.6041,25.0,,,,,,,,,,,,,,,,0.0582,1035.4112,23292.387694120953
biodiesel crops,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,174.7869,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,174.7869,0.0
bioethanol crops,,,,0.1289,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,104.6769,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,104.6769,0.0
biogas,,,,0.0,0.1447,7.7769,,,0.0,,,,,0.9,,,,,,,,,0.07,,,,1.0,,,,,,,,,78.8124,,,,,,1200.989,20.0,,,,,,,,,,,,,,,,,78.8124,206.7645790364669
biogas CC,,,,0.0,0.1447,7.7769,,,0.0,,,,,0.9,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1200.989,20.0,,,,,,,,,,,,,,,,,0.0,206.7645790364669
biogas manure,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,25.2276,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,25.2276,0.0
biogas plus hydrogen,,,,0.0,,4.0,,,4.8134,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1010.8095,25.0,,,,,,,,,,,,,,,,,4.8134,127.17046600656239
biogas upgrading,,,,0.0,,17.0397,,,4.615,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,214.0069,20.0,,,,,,,,,,,,,,,,,4.615,56.66687115954434
biomass,,,,0.0,,4.5269,,,0.0,,,,,,,,,,,,,,0.07,,,,0.468,,,,,,,,,9.3506,,,,,,2950.7891,30.0,,,,,,,,,,,,,,,,,19.979914529914527,371.37275285668863
biomass CHP,,,,0.0,,3.5822,,,2.8049,,0.4564,1.0,,,,,,,,,,,0.07,,,,0.3003,,,,0.7083,,,,,0.0,,,,,,4288.3001,25.0,,,,,,,,,,,,,,,,,2.8049,521.596735760632
biomass CHP capture,,,,0.0,,3.0,,,3.1433,,,,,,0.9,,,,,,0.085,0.14,0.07,,,,1.0,,,,,,,0.025,,0.0,,,0.72,0.72,,3394803.4231,25.0,,,,,,,,,,,,,,,,,3.1433,393153.94029169704
biomass EOP,,,,0.0,,3.5822,,,2.8049,,0.4564,1.0,,,,,,,,,,,0.07,,,,0.3003,,,,0.7083,,,,,0.0,,,,,,4288.3001,25.0,,,,,,,,,,,,,,,,,2.8049,521.596735760632
biomass HOP,,,,0.0,,5.7529,,,3.7184,,,,,,,,,,,,,,0.07,,,,1.0323,,,,,,,,,0.0,,,,,,1112.2234,25.0,,,,,,,,,,,,,,,,,3.7184,159.42556519752725
biomass boiler,,,,0.0,,7.4851,,,0.0,,,,,,,,,,,,,,0.07,,,,0.86,,,,,,,,,0.0,,,,,,867.3347,20.0,,,,,,,,,,9.0,,,,,,,0.0,146.79112956134892
biomass boiler capture,,,,0.0,,3.0,,,3.1433,,,,,,0.9,,,,,,0.085,0.14,0.07,,,,1.0,,,,,,,0.025,,0.0,,,0.72,0.72,,2891869.5826,25.0,,,,,,,,,,,,,,,,,3.1433,334908.91209561634
biomass-to-methanol,,0.4129,0.5871,0.0,0.2153,1.3333,,,18.1877,,,,,0.9,,,,,,,,,0.07,,,,0.61,,,0.02,0.22,,,,,0.0,,,,,,3905.6951,20.0,,,,,,,,,,,,,,,,,18.1877,420.7446203183975
blast furnace-basic oxygen furnace,,,,0.0,,14.18,,,0.0,,,,,,,,,,5.34,,,,0.07,,,20.0,1.0,,,,,,,,,0.0,,,,,,9602774.8268,40.0,,,,,,,,1.539,,,0.051,,,,,,0.0,2081969.3409956903
cement capture,,,,0.0,,3.0,,,3.1433,,,,,,0.9,,,,,,0.085,0.14,0.07,,,,1.0,,,,,,,0.022,,0.0,,,0.72,1.54,,3269069.963,25.0,,,,,,,,,,,,,,,,,3.1433,378592.68324557215
cement carbon capture retrofit,,,,0.0,,7.0,,,0.0,,,,,,0.9,,,,,,,,0.07,,,,1.0,,,,,,,0.16,,0.0,0.76,,,,,3253638.9129,20.0,,,,,,,,,,,,,,,,,0.0,534875.2202037368
cement dry clinker,,,,0.0,,4.0,,,6.679,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.0694,,0.0,0.0002,,0.9444,,,1462704.4046,30.0,,,,,,,,,,,,,,,,,6.679,176382.26355057524
cement finishing,,,,0.0,,30.0,,,4.0074,,,,,,,,,0.656,,,,,0.07,,,,1.0,,,,,,,0.1736,,0.0,,,,,,117016.3524,25.0,,,,,,,,,,,,0.194,,,,,4.0074,45146.13944271968
central air-sourced heat pump,,,,0.0,,0.2336,,,3.3529,,,,,,,,,,,,,,0.07,,,,3.2,,,,,,,,,0.0,,,,,,1143.7771,25.0,,,,,,,,,,,,,,,,,3.3529,100.81996784175297
central coal CHP,,,,0.0,,1.6316,,,3.7932,,1.01,0.15,,,,,,,,,,,0.07,,,,0.52,,,,,,,,,0.0,,,,,,2485.2282,25.0,,,,,,,,,,,,,,,,,3.7932,253.80770056458377
central excess-heat-sourced heat pump,,,,0.0,,0.3504,,,2.685,,,,,,,,,,,,,,0.07,,,,5.3,,,,,,,,,0.0,,,,,,762.518,25.0,,,,,,,,,,,,,,,,,2.685,68.10392704206748
central gas CHP,,,,0.0,,3.3214,,,5.6104,,1.0,0.17,,,,,,,,,,,0.07,,,,0.41,,,,,,,,,0.0,,,,,,748.0497,25.0,,,,,,,,,1.0,,,,,,,,5.6104,89.03625439956373
central gas CHP CC,,,,0.0,,3.3214,,,5.6104,,1.0,,,,,,,,,,,,0.07,,,,0.41,,,,,,,,,0.0,,,,,,748.0497,25.0,,,,,,,,,,,,,,,,,5.6104,89.03625439956373
central gas boiler,,,,0.0,,3.8,,,1.3358,,,,,,,,,,,,,,0.07,,,,1.04,,,,,,,,,0.0,,,,,,66.7902,25.0,,,,,,,,,,,,,,,,,1.3358,8.2693292072717
central geothermal heat source,,,,0.0,,0.8437,,,6.1348,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3562.5406,30.0,,,,,,,,,,,,,,,,,6.1348,317.1494893585161
central ground-sourced heat pump,,,,0.0,,0.394,,,1.6748,,,,,,,,,,,,,,0.07,,,,1.73,,,,,,,,,0.0,,,,,,678.0537,25.0,,,,,,,,,,,,,,,,,1.6748,60.85567027838603
central hydrogen CHP,,,,0.0,,5.0,,,0.0,,1.25,,,,,,,,,,,,0.07,,,,0.5,,,,,,,,,0.0,,,,,,1469.3834,10.0,,,,,,,,,,,,,,,,,0.0,282.6763090410443
central resistive heater,,,,0.0,,1.7,,,1.3358,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,80.1482,20.0,,,,,,,,,,,,,,,,,1.3358,8.927942491055605
central solar thermal,,,,0.0,,1.4,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,187012.4353,20.0,,,,,,,,,,,,,,,,,0.0,20270.825012538306
central solid biomass CHP,,,,0.0,,2.8661,,,6.1237,,0.3506,1.0,,,,,,,,,,,0.07,,,,0.2699,,,,0.8245,,,,,0.0,,,,,,4474.2578,25.0,,,,,,,,,1.0,,,,,,,,6.1237,512.1750788023974
